Name,EC_FF,EC_WB,OC_FF,OC_WB,OC_NC
AIN01,0.917288914956179,0.332684106048336,1.93539952096826,6.48210527818557,-3.80287531715383
AIN03,1.39033959894701,0.756679908495703,3.32449979872354,6.78614457295784,-1.49411684268138
AIN04,1.31270330673988,0.507666273706343,3.34431376091261,5.81755258508794,-0.852698623000557
AIN05,0.416896884352174,0.709250186245485,1.02678782629797,5.88247128155015,0.681412170151877
AIN06,1.03658651666116,0.462294906677976,2.17033650121011,4.72834292343011,-0.665758345640216
AIN08,1.19397099921583,0.270443046486506,3.08885517697494,6.16474443672387,-0.566564473698809
AIN09,0.0387848952241366,0.044793903416055,0.332591508173705,0.844189577688969,2.08899730113733
AIN11,0.0468962502079406,1.77901036813651,0.095531603411596,11.2247660783788,-0.565063701790431
AIN12,0.133002703327577,1.08976149101714,0.167711037100357,7.34814169682609,-0.0354862009264494
AIN14,1.83872831199659,1.01292205922602,4.68175620867496,7.13445911805725,0.169982833267795
AIN15,0.0394734197049149,1.37999297624866,0.0707641506752563,6.8813828592493,2.18011332907544
AIN16,1.58334180582259,0.840673992119335,7.15708619929542,9.67841738221178,1.6264278584928
AIN17,2.33764252250126,1.17312248374133,9.44630647363996,10.9712662774891,1.36597481887094
AIN18,1.33476972072389,0.762401343444723,5.34127809296834,8.21681053724925,2.2448227097824
AIN19,1.5832804489827,1.09345116426098,5.51889611116324,9.72123817901077,2.14975292982599
AIN20,1.41423699137875,0.776645699446876,4.79356356674186,6.84292325177162,2.61192534148652
AIN21,0.639800508122557,0.867648569363526,1.37353216460672,6.78709742756388,1.82220233182939
AIN22,1.2674157648504,0.865487053410273,3.79578904222075,7.30263990697636,2.24725646080289
AIN23,1.2264003006575,1.0169959302578,4.22957328586007,8.98124415049331,5.30304858364662
AIN24,1.80748496132898,0.767392454154879,7.66517280114376,7.79678652031152,3.49457273854472
AIN25,0.584482056877131,0.975206898786052,1.64031301265244,7.18857776666811,1.44233136067946
AIN26,1.58712345117396,1.15718626755618,4.00666621123301,10.071978881111,-0.934134542344012
AIN27,1.15524760040457,1.33631598763965,2.67700782004495,10.4880272710039,-1.57358455104888
AIN28,2.68487318148264,0.862361202081869,7.28941516105815,10.8258502595739,-3.99081337063205
AIN29,0.038006286386843,1.76914653948616,0.0707641506752563,8.95430773237952,0.483395605945221
